episode,timestep,reward
1,2000,10.1608
3,4000,11.6704
6,6000,16.4038
8,8000,22.6494
11,10000,11.8898
13,12000,24.9202
16,14000,39.1731
19,16000,34.6042
22,18000,36.3265
26,20000,60.6853
34,22000,34.2256
43,24000,38.7056
52,26000,28.8881
64,28000,34.2421
75,30000,35.4522
88,32000,31.5579
101,34000,34.6996
114,36000,29.7027
130,38000,30.2837
143,40000,39.3435
157,42000,40.7196
173,44000,32.1733
189,46000,24.1012
202,48000,46.0151
215,50000,36.1548
230,52000,35.5125
245,54000,33.6172
262,56000,32.6941
283,58000,25.1355
302,60000,31.7954
320,62000,36.6251
343,64000,22.1004
361,66000,36.0583
379,68000,33.6091
398,70000,28.055
413,72000,37.2066
430,74000,33.9281
448,76000,40.5813
469,78000,26.3342
487,80000,30.8945
504,82000,37.65
522,84000,40.9786
543,86000,34.0967
566,88000,25.0982
587,90000,32.0488
607,92000,32.5529
625,94000,33.3067
643,96000,28.156
657,98000,40.7924
674,100000,31.6203
693,102000,26.2133
705,104000,32.1105
723,106000,23.9281
731,108000,49.8785
740,110000,59.4809
754,112000,30.5064
767,114000,33.9042
778,116000,32.0656
788,118000,51.0623
798,120000,32.4533
806,122000,45.4207
817,124000,52.508
832,126000,25.9095
846,128000,40.4677
857,130000,47.9427
868,132000,38.9246
882,134000,45.2523
896,136000,33.4425
910,138000,27.491
924,140000,28.5975
935,142000,44.9076
949,144000,48.6282
967,146000,33.3385
988,148000,28.3096
1006,150000,38.5718
1023,152000,32.8269
1045,154000,30.8655
1065,156000,33.5904
1083,158000,40.6295
1101,160000,36.9506
1119,162000,36.2887
1140,164000,36.0776
1159,166000,36.5584
1178,168000,35.4372
1201,170000,28.8888
1219,172000,43.9745
1239,174000,33.7925
1261,176000,30.7408
1283,178000,29.971
1301,180000,42.9015
1318,182000,44.4756
1333,184000,53.9047
1349,186000,41.6474
1367,188000,43.0053
1385,190000,38.2513
1401,192000,38.7647
1413,194000,59.9149
1431,196000,39.9424
1455,198000,28.7696
1477,200000,31.0278
1499,202000,35.592
1523,204000,31.5914
1543,206000,42.4049
1569,208000,30.7306
1590,210000,40.2517
1615,212000,36.4307
1635,214000,48.7765
1660,216000,31.117
1683,218000,39.3465
1706,220000,35.2451
1732,222000,32.6478
1757,224000,40.3007
1780,226000,44.1666
1807,228000,30.6126
1831,230000,38.4579
1854,232000,41.5931
1881,234000,32.4618
1906,236000,35.4521
1930,238000,39.5603
1950,240000,55.2977
1973,242000,39.4827
1993,244000,54.8002
2015,246000,35.4286
2040,248000,33.19
2065,250000,30.9228
2088,252000,43.0196
2110,254000,45.8016
2138,256000,31.3793
2161,258000,42.4945
2189,260000,30.3627
2212,262000,48.7809
2238,264000,39.4492
2258,266000,53.2579
2285,268000,39.8401
2310,270000,39.6505
2335,272000,41.2997
2360,274000,41.6218
2385,276000,41.7189
2410,278000,38.9507
2437,280000,31.5926
2459,282000,45.7924
2487,284000,28.3651
2508,286000,48.6463
2531,288000,42.227
2555,290000,37.572
2575,292000,60.4149
2601,294000,34.5631
2622,296000,56.5789
2645,298000,47.4206
2669,300000,43.5243
2690,302000,51.3585
2712,304000,46.9387
2733,306000,45.0044
2755,308000,43.855
2777,310000,45.7268
2801,312000,32.6734
2827,314000,35.7917
2846,316000,52.1512
2872,318000,39.696
2893,320000,47.1582
2918,322000,34.5626
2940,324000,46.298
2964,326000,45.882
2985,328000,53.1826
3008,330000,47.08
3034,332000,33.3772
3058,334000,44.5725
3082,336000,40.1828
3107,338000,40.3915
3130,340000,49.0766
3156,342000,39.1285
3178,344000,50.1597
3202,346000,41.4898
3228,348000,39.8587
3251,350000,49.2271
3274,352000,48.3669
3298,354000,49.3711
3324,356000,40.4101
3353,358000,33.424
3377,360000,49.0671
3398,362000,53.8708
3422,364000,46.8451
3447,366000,40.589
3473,368000,41.5843
3498,370000,40.7153
3523,372000,44.5974
3547,374000,46.5204
3569,376000,53.2546
3588,378000,62.4344
3610,380000,53.2541
3633,382000,44.7644
3656,384000,42.384
3680,386000,40.6424
3703,388000,43.5565
3725,390000,42.3733
3745,392000,52.7316
3769,394000,41.2811
3791,396000,53.5955
3816,398000,40.1408
3840,400000,44.8006
3864,402000,47.6577
3888,404000,45.7304
3911,406000,48.8384
3937,408000,35.5904
3958,410000,53.1335
3983,412000,46.0971
4007,414000,47.2662
4033,416000,42.3116
4058,418000,50.7556
4079,420000,61.6232
4101,422000,58.7801
4124,424000,47.9492
4146,426000,50.2717
4169,428000,44.2204
4194,430000,41.2574
4216,432000,51.345
4238,434000,55.4346
4260,436000,46.9041
4279,438000,69.6475
4302,440000,44.6836
4322,442000,59.3105
4344,444000,43.6055
4365,446000,58.0069
4388,448000,48.3292
4411,450000,54.8597
4437,452000,33.7829
4459,454000,63.6935
4483,456000,46.7128
4507,458000,49.3824
4532,460000,43.1748
4557,462000,43.4052
4585,464000,36.6231
4608,466000,52.8136
4631,468000,55.6434
4654,470000,56.5433
4678,472000,51.858
4703,474000,50.8515
4726,476000,53.3828
4750,478000,56.9104
4772,480000,54.2878
4797,482000,52.7658
4822,484000,50.2077
4845,486000,52.7341
4869,488000,51.1668
4896,490000,42.7247
4920,492000,59.7633
4941,494000,66.919
4965,496000,60.9125
4988,498000,59.4099
5010,500000,63.6459
5034,502000,60.3546
5061,504000,44.8878
5085,506000,56.3012
5110,508000,52.8436
5136,510000,48.3483
5156,512000,67.1836
5180,514000,51.1398
5203,516000,50.9802
5227,518000,44.8868
5247,520000,63.4118
5265,522000,66.6584
5284,524000,59.1941
5303,526000,62.8873
5324,528000,53.0045
5345,530000,51.2914
