episode,timestep,reward
2,2000,8.0588
4,4000,5.1616
6,6000,11.6035
8,8000,13.5553
10,10000,15.7886
14,12000,12.5882
17,14000,10.9598
20,16000,10.7984
26,18000,11.2096
28,20000,28.0067
33,22000,15.6684
39,24000,11.9094
43,26000,28.5472
47,28000,18.0201
54,30000,23.3205
58,32000,40.8811
65,34000,33.0782
75,36000,22.7216
88,38000,19.7263
97,40000,16.2874
112,42000,16.3142
126,44000,18.6511
139,46000,31.2131
162,48000,12.3717
183,50000,19.5348
200,52000,24.3592
220,54000,26.4688
243,56000,20.418
266,58000,14.6163
289,60000,15.9173
313,62000,14.2379
330,64000,25.8577
351,66000,26.1026
372,68000,20.933
394,70000,18.3775
418,72000,22.0972
441,74000,23.4463
468,76000,18.1025
488,78000,30.4477
515,80000,17.2668
535,82000,22.4849
558,84000,22.0158
578,86000,22.1028
601,88000,18.212
622,90000,19.3152
645,92000,16.6981
669,94000,16.8183
688,96000,28.6911
715,98000,19.7284
742,100000,20.2629
770,102000,18.0678
801,104000,14.5583
825,106000,20.1308
851,108000,22.4343
880,110000,18.6595
908,112000,20.4513
942,114000,14.2938
976,116000,12.9728
1011,118000,13.1908
1041,120000,19.8261
1076,122000,13.6781
1107,124000,18.1234
1129,126000,31.3703
1159,128000,21.7756
1185,130000,24.4342
1212,132000,24.2455
1246,134000,17.3725
1271,136000,28.0442
1309,138000,14.0032
1340,140000,19.4333
1368,142000,22.603
1393,144000,22.8023
1419,146000,29.5395
1449,148000,21.3206
1476,150000,22.0992
1506,152000,19.0082
1530,154000,24.3277
1559,156000,20.0034
1584,158000,22.8859
1609,160000,24.9048
1633,162000,30.3022
1659,164000,22.6173
1682,166000,26.6249
1705,168000,25.5331
1727,170000,30.6865
1750,172000,27.6727
1779,174000,18.8898
1809,176000,20.4205
1838,178000,23.773
1865,180000,23.4385
1898,182000,17.5773
1928,184000,19.9603
1954,186000,29.0868
1988,188000,18.2994
2024,190000,17.65
2057,192000,19.8436
2088,194000,24.4232
2122,196000,22.0262
2152,198000,24.9348
2179,200000,32.6532
2205,202000,33.3489
2231,204000,32.3004
2264,206000,22.071
2289,208000,36.811
2315,210000,26.9725
2341,212000,30.1831
2368,214000,31.7289
2398,216000,22.0353
2425,218000,27.5371
2450,220000,34.7222
2482,222000,22.3681
2506,224000,38.9012
2532,226000,31.6999
2558,228000,34.3861
2586,230000,24.792
2616,232000,26.669
2646,234000,24.8433
2675,236000,27.2601
2700,238000,33.425
2728,240000,28.0958
2754,242000,35.3822
2784,244000,25.4576
2815,246000,24.6126
2839,248000,37.1484
2870,250000,26.9668
2897,252000,31.3231
2930,254000,21.2819
2962,256000,24.4222
2992,258000,27.5993
3025,260000,21.2171
3051,262000,31.0549
3076,264000,32.9553
3100,266000,41.2414
3127,268000,29.4894
3154,270000,31.4387
3181,272000,29.3989
3208,274000,34.2499
3238,276000,22.5879
3265,278000,26.2193
3291,280000,31.1771
3315,282000,35.0764
3339,284000,28.9109
3365,286000,32.8772
3389,288000,35.4579
3413,290000,39.1265
3437,292000,37.3061
3462,294000,31.9644
3489,296000,26.65
3511,298000,36.3834
3533,300000,36.5183
3557,302000,25.8319
3579,304000,35.3238
3599,306000,42.2111
3622,308000,31.799
3644,310000,38.4951
3669,312000,30.6165
3694,314000,34.9509
3717,316000,33.4228
3743,318000,33.5395
3768,320000,30.1351
3790,322000,44.031
3818,324000,25.5508
3841,326000,38.4193
3868,328000,29.5615
3893,330000,38.5711
3922,332000,27.9447
3953,334000,26.24
3984,336000,27.3193
4009,338000,39.7847
4032,340000,42.7006
4058,342000,36.1955
4088,344000,26.3449
4119,346000,27.7211
4145,348000,39.951
4173,350000,37.263
4199,352000,37.295
4227,354000,32.7764
4252,356000,34.5369
4273,358000,43.1302
4301,360000,28.2223
4330,362000,33.0355
4358,364000,29.791
4383,366000,35.7798
4404,368000,49.7668
4433,370000,30.7573
4459,372000,30.4834
4485,374000,40.8343
4510,376000,40.0126
4539,378000,29.3417
4565,380000,31.8926
4591,382000,33.3296
4617,384000,34.3713
4641,386000,37.2247
4665,388000,43.2617
4691,390000,36.5854
4715,392000,39.078
4737,394000,45.4663
4758,396000,53.5075
4783,398000,38.2404
4810,400000,34.1229
4833,402000,40.6358
4855,404000,45.8138
4882,406000,31.417
4903,408000,42.4954
4925,410000,42.8498
4948,412000,40.0021
4970,414000,38.3151
4994,416000,40.6381
5022,418000,29.4719
5048,420000,33.1278
5072,422000,39.9435
5100,424000,28.9542
5126,426000,38.2003
5149,428000,45.1883
5174,430000,38.7974
5201,432000,37.7199
5224,434000,43.3455
5254,436000,31.2461
5280,438000,36.0357
5306,440000,39.1804
5331,442000,41.7924
5358,444000,38.4857
5383,446000,41.6835
5407,448000,49.7969
5433,450000,37.5653
5463,452000,32.6025
5486,454000,48.8506
5517,456000,25.7602
5540,458000,48.7127
5564,460000,43.9628
5591,462000,34.3125
5615,464000,45.5929
5641,466000,38.0063
5665,468000,38.8304
5689,470000,39.0679
5715,472000,36.1989
5737,474000,45.1326
5761,476000,32.6563
5787,478000,31.6712
5811,480000,39.1999
5835,482000,45.6537
5857,484000,43.353
5877,486000,55.6467
5900,488000,42.5871
5922,490000,43.896
5944,492000,44.0651
5966,494000,43.357
5987,496000,47.0329
6008,498000,47.9467
6030,500000,45.2264
6051,502000,50.6525
6075,504000,38.4893
6100,506000,38.5818
6121,508000,44.8385
6144,510000,44.2307
6164,512000,55.9823
6189,514000,38.8221
6215,516000,38.5344
6238,518000,44.3605
6265,520000,34.3364
6291,522000,40.8788
6315,524000,44.1454
6339,526000,41.6607
6366,528000,34.3948
6389,530000,49.1607
6412,532000,47.9778
6435,534000,52.6073
6459,536000,45.3549
6483,538000,44.0116
6507,540000,46.0647
6532,542000,41.5561
6555,544000,48.271
6579,546000,44.2839
6600,548000,53.0735
6624,550000,40.2516
6646,552000,50.4767
6670,554000,41.4402
6694,556000,44.4499
6718,558000,42.4343
6745,560000,36.0006
6768,562000,50.4128
6790,564000,44.5943
6814,566000,41.4804
6835,568000,50.6774
6860,570000,37.5985
6883,572000,44.633
6906,574000,44.7972
6926,576000,59.1325
6946,578000,51.5222
6966,580000,49.0024
6985,582000,47.2526
7005,584000,48.5988
7028,586000,34.3164
7048,588000,44.5523
7069,590000,41.0368
7088,592000,52.6719
7107,594000,60.2115
7129,596000,37.3501
7147,598000,55.7308
7168,600000,44.1004
7185,602000,65.9469
7207,604000,46.8277
7226,606000,54.5999
7249,608000,38.3157
7267,610000,58.9376
7287,612000,50.7351
7306,614000,51.7044
7325,616000,54.9313
7347,618000,39.0447
7368,620000,41.3744
7387,622000,44.6561
7406,624000,50.1379
7426,626000,50.0249
7449,628000,39.3423
7470,630000,49.6582
7492,632000,47.1298
7515,634000,41.1422
7537,636000,47.2939
7557,638000,52.1008
7578,640000,48.9874
7601,642000,42.5616
7621,644000,58.4953
7642,646000,46.2202
7663,648000,49.1047
7683,650000,51.8424
7703,652000,54.92
7720,654000,53.325
7739,656000,63.6328
7755,658000,64.1112
7773,660000,51.42
7790,662000,50.863
7805,664000,62.1315
7821,666000,55.8383
7840,668000,47.5197
7860,670000,40.885
7874,672000,79.0084
7892,674000,55.2118
7911,676000,52.2607
7931,678000,52.2338
7950,680000,52.9438
7973,682000,44.4205
7995,684000,45.3553
8017,686000,48.6486
8037,688000,54.9559
8060,690000,49.4821
8080,692000,59.148
8104,694000,44.1742
8125,696000,50.6607
8148,698000,49.8732
8174,700000,37.9661
8198,702000,46.3418
8222,704000,46.0718
8242,706000,55.7437
8264,708000,54.3922
8286,710000,50.8883
8310,712000,44.2882
8329,714000,63.4442
8348,716000,66.8936
8368,718000,56.2317
8392,720000,46.4559
8412,722000,61.4711
8439,724000,37.9526
8463,726000,47.7331
8486,728000,53.3055
8511,730000,43.3145
8537,732000,45.6196
8559,734000,54.9766
8584,736000,46.71
8608,738000,48.1367
8636,740000,37.4022
8658,742000,56.7081
8683,744000,48.4706
8707,746000,46.9984
8730,748000,49.0925
8756,750000,45.9686
8778,752000,56.0236
8801,754000,53.7897
8824,756000,56.9461
8850,758000,40.5929
8872,760000,66.691
8893,762000,67.0258
8920,764000,37.1096
8941,766000,65.9909
8965,768000,48.8229
8988,770000,57.6124
9012,772000,49.8065
9034,774000,61.6237
9056,776000,55.4563
9078,778000,53.7942
9100,780000,57.8998
9124,782000,43.3586
9148,784000,47.3205
