episode,timestep,reward
1,2000,8.1344
3,4000,11.9765
5,6000,14.082
8,8000,14.2945
10,10000,22.1364
13,12000,11.289
17,14000,18.8596
21,16000,15.7898
27,18000,16.0212
35,20000,10.1545
43,22000,7.2601
50,24000,17.0324
53,26000,23.5255
59,28000,25.7111
67,30000,17.9359
70,32000,37.6784
76,34000,37.5273
80,36000,36.1699
91,38000,17.7741
100,40000,17.4431
114,42000,16.4
128,44000,15.4637
133,46000,29.8804
142,48000,22.2419
154,50000,18.1422
167,52000,22.989
180,54000,29.4146
204,56000,12.6075
219,58000,18.621
231,60000,23.1714
244,62000,21.2562
258,64000,23.0473
285,66000,12.9477
307,68000,19.0055
324,70000,16.2149
353,72000,12.2077
382,74000,11.757
407,76000,17.8096
428,78000,23.1536
454,80000,15.1595
476,82000,20.3524
503,84000,16.3808
533,86000,14.6703
567,88000,10.3092
597,90000,13.7723
620,92000,23.4815
650,94000,15.0218
678,96000,15.7188
707,98000,12.6765
735,100000,13.6824
