episode,timestep,reward
1,2000,36.912
3,4000,25.8968
5,6000,13.3465
7,8000,23.5514
9,10000,27.4152
11,12000,24.1698
13,14000,20.1108
15,16000,-2.5623
17,18000,20.917
19,20000,37.4303
21,22000,39.1433
23,24000,35.0724
25,26000,40.6681
27,28000,39.5525
29,30000,45.1182
31,32000,13.3523
33,34000,42.9581
35,36000,50.7825
37,38000,33.9993
39,40000,36.9003
41,42000,51.4137
44,44000,70.4558
46,46000,48.1778
48,48000,64.9489
51,50000,52.9961
54,52000,9.5499
58,54000,6.5556
60,56000,52.049
62,58000,85.3341
65,60000,39.0368
68,62000,55.7367
72,64000,27.1581
76,66000,16.9556
81,68000,16.7135
84,70000,37.4394
88,72000,23.16
92,74000,25.5688
94,76000,1.7333
97,78000,16.663
101,80000,15.3741
103,82000,28.2116
105,84000,18.9713
108,86000,15.4882
110,88000,32.7128
113,90000,13.0306
115,92000,43.7774
117,94000,74.9631
119,96000,46.7366
121,98000,47.5182
126,100000,12.9347
129,102000,22.6633
132,104000,23.928
134,106000,22.7288
136,108000,67.4747
138,110000,75.9558
140,112000,126.9437
145,114000,42.5882
150,116000,44.8599
152,118000,67.4292
154,120000,72.1379
159,122000,38.8723
161,124000,78.0881
165,126000,30.7008
171,128000,42.5193
177,130000,29.9302
182,132000,23.2243
188,134000,20.561
192,136000,29.9879
195,138000,50.1801
201,140000,21.1277
205,142000,31.66
208,144000,22.1747
211,146000,23.2433
213,148000,71.635
216,150000,38.4114
219,152000,38.369
221,154000,34.7881
225,156000,56.8888
227,158000,71.9565
230,160000,46.3408
233,162000,19.2294
236,164000,66.6414
238,166000,27.0903
241,168000,19.9567
243,170000,15.3373
245,172000,69.4766
247,174000,61.9453
249,176000,93.0292
252,178000,24.2461
254,180000,82.9692
257,182000,49.1932
260,184000,20.8902
263,186000,25.7516
266,188000,-8.2532
269,190000,41.5681
272,192000,16.2284
274,194000,14.313
277,196000,18.6155
279,198000,50.6882
281,200000,53.0481
284,202000,73.9936
286,204000,50.6312
288,206000,38.4225
290,208000,44.0635
293,210000,19.627
295,212000,32.4649
297,214000,42.2341
299,216000,63.0436
302,218000,20.3035
304,220000,96.3322
307,222000,39.7
310,224000,-3.3804
312,226000,60.2068
315,228000,1.9692
317,230000,69.4735
319,232000,25.0574
323,234000,25.6346
326,236000,18.7793
329,238000,23.0865
332,240000,37.1326
335,242000,26.2914
337,244000,31.501
339,246000,67.4298
342,248000,51.9827
344,250000,56.3665
346,252000,84.4983
349,254000,55.7157
351,256000,62.0295
353,258000,100.3855
355,260000,75.5433
358,262000,75.578
360,264000,27.6722
363,266000,23.1638
365,268000,57.4778
367,270000,31.7634
369,272000,59.3631
371,274000,82.4859
374,276000,33.2733
376,278000,87.2005
379,280000,64.862
381,282000,46.3277
384,284000,41.8426
386,286000,41.5565
388,288000,20.4061
390,290000,48.2039
392,292000,68.2427
394,294000,43.428
396,296000,43.5337
398,298000,47.9556
400,300000,38.1688
402,302000,38.3709
404,304000,41.1801
406,306000,50.6056
408,308000,56.9339
411,310000,19.0888
414,312000,31.1144
416,314000,28.442
419,316000,18.7026
421,318000,52.8054
423,320000,55.7301
425,322000,66.6827
427,324000,27.2128
429,326000,41.3344
432,328000,45.1235
434,330000,61.2662
436,332000,37.01
438,334000,22.766
440,336000,52.3579
442,338000,90.4218
445,340000,55.3873
447,342000,79.6164
449,344000,81.2599
451,346000,62.6878
454,348000,19.9814
456,350000,66.7031
458,352000,40.3635
461,354000,28.3165
463,356000,82.4112
465,358000,47.9728
468,360000,29.0524
471,362000,27.9008
473,364000,72.1429
475,366000,31.2655
477,368000,54.0714
479,370000,67.322
481,372000,60.3775
483,374000,47.4648
486,376000,62.8121
488,378000,63.353
490,380000,24.0459
493,382000,26.1344
496,384000,15.7938
502,386000,2.2881
507,388000,-4.9028
514,390000,3.2637
521,392000,-2.3881
527,394000,3.2922
531,396000,5.7782
534,398000,30.3043
540,400000,-1.5707
545,402000,8.4774
552,404000,-0.592
554,406000,19.8699
558,408000,22.8212
561,410000,-0.1994
564,412000,23.5789
566,414000,16.5433
568,416000,16.3909
571,418000,25.4214
573,420000,0.2398
580,422000,-10.623
586,424000,-14.391
590,426000,-2.5379
595,428000,-18.3044
598,430000,0.0155
603,432000,-19.2912
608,434000,-15.746
614,436000,-17.6819
618,438000,-23.605
621,440000,-11.4064
625,442000,-9.4693
628,444000,-15.3424
631,446000,-10.2485
634,448000,-8.162
638,450000,-15.5485
640,452000,-2.878
643,454000,-8.8328
646,456000,-10.6244
649,458000,-13.6951
652,460000,-10.4201
654,462000,-17.3035
657,464000,-9.4408
660,466000,-2.5938
662,468000,-1.267
664,470000,-8.2728
666,472000,2.2054
669,474000,3.7902
671,476000,22.7318
674,478000,0.5953
676,480000,43.078
678,482000,66.9093
680,484000,53.9099
682,486000,42.0629
684,488000,35.8823
687,490000,39.2467
689,492000,55.7007
691,494000,56.3229
693,496000,112.2029
695,498000,76.0054
698,500000,40.2926
702,502000,42.2582
705,504000,57.1748
709,506000,55.1483
712,508000,50.8418
714,510000,121.8741
717,512000,41.364
719,514000,62.7782
721,516000,76.4139
723,518000,78.2541
726,520000,52.778
728,522000,46.4866
731,524000,59.1076
733,526000,65.8495
735,528000,62.0678
737,530000,27.9073
740,532000,39.3944
742,534000,92.4926
744,536000,54.126
746,538000,76.6653
748,540000,48.4948
752,542000,30.5032
755,544000,37.1618
757,546000,44.7171
759,548000,77.1254
762,550000,12.7148
766,552000,16.9621
770,554000,15.9947
772,556000,56.4777
774,558000,90.7984
777,560000,28.5019
781,562000,52.945
785,564000,16.724
789,566000,33.9251
793,568000,16.8807
795,570000,66.1743
798,572000,35.782
800,574000,34.5837
803,576000,61.5746
805,578000,45.8328
808,580000,15.7652
813,582000,19.2359
817,584000,20.3724
819,586000,58.7043
823,588000,51.1773
825,590000,39.8174
827,592000,45.871
829,594000,24.1736
833,596000,32.2708
836,598000,20.4592
