episode,timestep,reward
1,2000,21.7929
3,4000,14.6264
5,6000,14.1664
7,8000,29.3124
9,10000,13.3293
11,12000,-1.9545
14,14000,-2.848
16,16000,-2.7707
18,18000,-13.6167
20,20000,-12.331
22,22000,-9.2861
25,24000,-4.9471
27,26000,-1.9425
30,28000,-14.2872
32,30000,-7.1638
34,32000,3.4877
36,34000,6.5168
38,36000,-15.5926
40,38000,7.4795
42,40000,7.8903
44,42000,8.7148
46,44000,-4.9315
48,46000,22.2758
50,48000,28.1903
52,50000,15.927
54,52000,24.9057
56,54000,21.9275
58,56000,26.3726
60,58000,23.5117
62,60000,24.6046
64,62000,19.2242
66,64000,42.3172
68,66000,37.7011
70,68000,16.4162
72,70000,16.2045
74,72000,30.4016
76,74000,26.449
78,76000,21.9843
80,78000,17.6613
82,80000,23.7408
84,82000,16.8879
86,84000,24.568
88,86000,19.3243
90,88000,15.8344
92,90000,25.3628
94,92000,8.729
96,94000,14.7168
98,96000,18.0418
100,98000,23.2078
102,100000,15.1714
104,102000,9.154
106,104000,20.1803
108,106000,-5.2215
110,108000,-3.9145
112,110000,1.763
114,112000,6.3407
116,114000,1.6169
118,116000,0.657
120,118000,-1.223
122,120000,15.9599
124,122000,-2.2991
126,124000,7.1001
128,126000,-1.4901
130,128000,14.048
132,130000,9.6867
134,132000,4.5393
136,134000,10.0266
138,136000,-11.499
140,138000,-5.6282
143,140000,-5.8762
145,142000,-1.0368
147,144000,-0.4598
149,146000,1.7157
151,148000,4.8225
153,150000,8.5022
155,152000,12.7663
157,154000,-0.1413
159,156000,2.002
161,158000,-0.6614
163,160000,-6.4261
165,162000,7.3078
167,164000,12.1815
169,166000,16.4107
171,168000,13.2065
173,170000,11.6352
175,172000,8.5347
177,174000,4.9031
179,176000,-2.4724
181,178000,2.8331
183,180000,8.5249
185,182000,9.4058
187,184000,12.495
189,186000,7.1795
191,188000,11.9023
193,190000,12.3787
195,192000,15.7725
197,194000,11.7576
199,196000,0.5207
201,198000,-0.6932
203,200000,10.2847
205,202000,7.3144
207,204000,0.2831
209,206000,-5.1017
211,208000,7.6563
213,210000,7.3575
215,212000,-1.7447
217,214000,-6.1148
219,216000,-12.314
221,218000,-2.0516
223,220000,-11.8806
225,222000,-13.5855
227,224000,-25.2742
229,226000,-2.9494
231,228000,-10.6573
233,230000,9.372
235,232000,-8.0554
237,234000,1.4528
239,236000,-0.7701
241,238000,-8.983
243,240000,-3.5934
245,242000,-1.5382
247,244000,-5.5901
249,246000,-0.9197
251,248000,-14.7896
253,250000,-8.5991
255,252000,-15.8333
257,254000,-7.0795
259,256000,-17.3269
261,258000,-28.6121
263,260000,-14.75
265,262000,-10.1949
267,264000,-20.1633
269,266000,-14.8554
271,268000,-4.6201
273,270000,-14.7412
275,272000,-19.8266
277,274000,-19.1261
279,276000,-14.176
281,278000,-14.3496
283,280000,-19.3244
286,282000,-25.8233
288,284000,-8.6862
290,286000,-18.9539
292,288000,-12.9092
294,290000,-34.2982
296,292000,-19.6481
298,294000,-19.9164
300,296000,-15.0315
302,298000,-24.4941
304,300000,-19.4348
307,302000,-30.1035
309,304000,-24.8049
311,306000,-29.6972
313,308000,-18.5839
316,310000,-25.6287
318,312000,-34.4832
320,314000,-19.374
322,316000,-23.7938
324,318000,-7.3312
326,320000,-17.633
329,322000,-24.4966
331,324000,-6.4791
333,326000,-12.0546
335,328000,-16.2504
337,330000,-5.6875
339,332000,-21.2744
341,334000,3.0578
343,336000,-20.6324
345,338000,-6.1492
347,340000,-22.0818
349,342000,-21.7801
351,344000,-6.0113
353,346000,-11.7513
355,348000,-21.5693
357,350000,-33.9231
359,352000,-17.561
361,354000,-11.5166
363,356000,-28.3641
365,358000,-22.6754
367,360000,-12.0615
370,362000,-21.5886
372,364000,-13.7681
374,366000,-18.5412
376,368000,-24.3355
378,370000,-13.7145
380,372000,-18.5202
382,374000,-18.3334
384,376000,-17.4471
386,378000,-12.1509
388,380000,-13.2373
390,382000,-13.6977
392,384000,-23.9205
394,386000,-14.0644
396,388000,-23.9637
398,390000,-18.8131
400,392000,-13.6184
402,394000,-13.5182
404,396000,-13.5845
407,398000,-26.1698
