episode,timestep,reward
2,2000,7.69
6,4000,-9.3599
10,6000,1.4928
13,8000,17.8224
16,10000,36.5457
25,12000,22.8527
32,14000,38.0939
43,16000,29.8669
55,18000,20.8954
71,20000,20.4576
85,22000,19.1684
102,24000,20.9524
116,26000,27.3585
129,28000,27.4913
141,30000,25.7631
148,32000,38.0709
154,34000,31.502
163,36000,32.5862
173,38000,31.2939
184,40000,38.2236
192,42000,60.7393
200,44000,57.9965
210,46000,46.8115
221,48000,40.4017
228,50000,64.1392
238,52000,80.5614
247,54000,59.5015
255,56000,74.1713
263,58000,67.9699
271,60000,81.8905
280,62000,68.5442
287,64000,67.8306
295,66000,60.7165
303,68000,69.3018
310,70000,77.117
315,72000,69.6447
321,74000,70.0569
328,76000,61.6294
336,78000,65.5828
343,80000,75.1236
350,82000,81.6988
359,84000,70.6477
368,86000,95.6576
379,88000,64.0919
388,90000,79.0457
396,92000,77.2948
406,94000,75.7874
417,96000,55.2547
426,98000,79.0616
434,100000,81.0793
441,102000,77.9336
447,104000,66.3398
454,106000,76.9331
462,108000,85.4547
470,110000,103.05
479,112000,65.951
488,114000,80.5803
499,116000,67.7117
509,118000,71.2299
520,120000,77.0989
530,122000,67.5569
541,124000,71.9924
551,126000,71.936
562,128000,79.4086
573,130000,74.2209
585,132000,74.9101
594,134000,88.468
605,136000,90.0934
617,138000,79.7465
628,140000,75.2147
638,142000,78.5422
650,144000,82.3326
660,146000,71.2019
671,148000,69.9684
682,150000,64.1501
692,152000,80.1808
702,154000,95.3489
712,156000,73.4966
722,158000,77.6451
730,160000,85.9422
739,162000,71.4666
749,164000,78.2876
759,166000,80.1138
770,168000,65.7312
781,170000,65.3356
792,172000,80.3027
804,174000,92.1692
816,176000,71.2203
828,178000,88.9788
840,180000,71.0684
852,182000,79.3182
864,184000,80.5458
875,186000,80.9857
887,188000,81.5795
899,190000,74.8925
910,192000,85.8484
922,194000,81.45
933,196000,69.538
943,198000,80.6672
954,200000,76.8164
963,202000,80.3348
973,204000,86.0949
981,206000,90.7445
991,208000,68.8401
1001,210000,79.9909
1011,212000,81.5526
1022,214000,72.4421
1033,216000,71.5009
1044,218000,71.3578
1057,220000,61.5135
1067,222000,70.8658
1079,224000,67.6817
1090,226000,73.6386
1100,228000,74.1879
1109,230000,93.4834
1118,232000,95.0319
1128,234000,90.6606
1137,236000,78.6186
1148,238000,71.1772
1160,240000,65.6388
1173,242000,67.4719
1187,244000,67.9203
1200,246000,66.0727
1213,248000,75.0273
1223,250000,83.3008
1235,252000,79.6353
1247,254000,62.1147
1258,256000,70.9705
1270,258000,73.8513
1280,260000,74.613
1291,262000,76.7396
1300,264000,79.2174
1309,266000,77.8878
1318,268000,88.6397
1326,270000,68.798
1334,272000,83.0999
1342,274000,83.651
1348,276000,76.0019
1356,278000,89.1769
1362,280000,99.5463
1367,282000,82.5496
1372,284000,83.4861
1378,286000,68.7263
1383,288000,79.3731
1390,290000,84.8506
1398,292000,64.7748
1406,294000,73.2394
1415,296000,74.9929
1424,298000,82.6173
1433,300000,79.9097
1442,302000,81.474
1451,304000,79.7249
1459,306000,95.7419
1469,308000,81.0115
1478,310000,93.5065
1489,312000,89.0549
1502,314000,59.6958
1513,316000,78.328
1524,318000,69.0277
1535,320000,76.0491
1546,322000,66.6632
1556,324000,85.3153
1566,326000,73.5665
1575,328000,70.1544
1584,330000,80.5311
1594,332000,74.7754
1605,334000,83.2096
1614,336000,94.061
1624,338000,80.1595
1634,340000,89.8409
1643,342000,67.6513
1652,344000,81.7476
1660,346000,82.4473
1668,348000,65.5274
1676,350000,90.0482
1685,352000,91.9881
1694,354000,76.2565
1703,356000,87.9951
1713,358000,84.3787
1723,360000,72.4561
1732,362000,81.533
1742,364000,84.2121
1752,366000,91.5696
1762,368000,86.9104
1772,370000,84.3575
1783,372000,62.2415
1795,374000,63.4726
1804,376000,71.3432
1814,378000,86.2107
1822,380000,76.1713
1831,382000,85.494
1839,384000,95.9023
1847,386000,70.1925
1855,388000,74.9722
1862,390000,77.7606
1869,392000,83.7386
1877,394000,74.9341
1884,396000,92.95
1893,398000,74.4766
1902,400000,74.408
1912,402000,78.799
1922,404000,72.4927
1931,406000,85.7914
1941,408000,70.0842
1951,410000,68.1923
1961,412000,75.5348
1973,414000,67.1831
1984,416000,84.1189
1994,418000,75.8578
2005,420000,77.2679
2017,422000,67.0221
2027,424000,83.1861
2039,426000,63.0115
2049,428000,82.6182
2059,430000,82.0636
2070,432000,83.3785
2080,434000,91.2063
2091,436000,79.324
2102,438000,77.3729
2112,440000,78.3939
2122,442000,85.9938
2132,444000,62.5462
2143,446000,81.4324
2153,448000,75.9403
2165,450000,68.67
2177,452000,71.637
2188,454000,67.6177
2199,456000,93.415
2211,458000,77.3311
2222,460000,69.2677
2234,462000,76.0877
2245,464000,80.1335
2256,466000,78.6114
2267,468000,83.9143
2278,470000,79.8157
2287,472000,88.8995
2297,474000,77.3197
2307,476000,85.1779
2317,478000,94.9882
2329,480000,74.1551
2342,482000,67.0344
2355,484000,72.3983
2367,486000,88.5963
2380,488000,69.7901
2392,490000,68.2006
2405,492000,63.6452
2417,494000,81.5859
2431,496000,65.6441
2442,498000,81.2518
2453,500000,78.6927
2464,502000,87.9814
2474,504000,85.4876
2485,506000,79.2766
2496,508000,76.9451
2506,510000,72.9073
2518,512000,73.8367
2528,514000,91.5591
2540,516000,64.9382
2551,518000,62.0938
2562,520000,68.1894
2574,522000,59.992
2584,524000,76.8245
2593,526000,75.3244
2602,528000,76.1766
2613,530000,62.3753
2622,532000,75.6471
2631,534000,81.9437
2642,536000,70.1339
2653,538000,70.3153
2663,540000,72.64
2672,542000,80.4451
2682,544000,90.1594
2693,546000,75.48
2704,548000,85.0852
2715,550000,82.0897
2725,552000,75.5577
2735,554000,69.7884
2745,556000,85.3749
2755,558000,98.2809
2764,560000,74.5003
2774,562000,76.6041
2785,564000,70.4591
2794,566000,87.0763
2804,568000,86.424
2812,570000,84.2655
2821,572000,74.0954
2832,574000,57.7502
2840,576000,98.7996
2848,578000,74.5383
2856,580000,75.4292
2863,582000,78.4478
2870,584000,85.977
2877,586000,95.9618
2883,588000,66.4866
2888,590000,127.0696
2895,592000,74.6825
2904,594000,70.6369
2913,596000,84.4061
2923,598000,76.0753
2932,600000,85.0795
2943,602000,68.1543
2954,604000,87.3644
2963,606000,70.0115
2973,608000,76.4766
2983,610000,84.9966
2993,612000,88.1947
3004,614000,83.0962
3016,616000,70.6716
3027,618000,88.8855
3038,620000,89.8778
3048,622000,84.145
3059,624000,80.6835
3068,626000,76.9107
3078,628000,75.9365
3087,630000,94.3141
3098,632000,95.2192
3108,634000,83.1449
3117,636000,81.5821
3126,638000,102.8836
3135,640000,92.6563
3144,642000,82.1604
3155,644000,87.3629
3165,646000,73.4306
3174,648000,98.643
3182,650000,92.8954
3190,652000,84.9168
3198,654000,82.1875
3210,656000,65.4176
3223,658000,69.7565
3233,660000,89.9698
3241,662000,78.4179
3251,664000,69.227
3260,666000,82.6101
3271,668000,91.1968
3281,670000,79.2346
3292,672000,76.5113
3302,674000,63.2893
3311,676000,85.713
3320,678000,88.0125
3329,680000,86.81
3339,682000,74.0671
3351,684000,90.6729
3361,686000,86.4485
3373,688000,77.7635
3385,690000,79.4942
3395,692000,72.1734
3406,694000,76.2969
3419,696000,68.8666
3430,698000,66.8552
3440,700000,78.3741
3451,702000,65.0278
3461,704000,76.0594
3472,706000,83.0749
3481,708000,79.7373
3489,710000,89.4998
3497,712000,97.9071
3504,714000,93.8531
3513,716000,92.9685
3521,718000,76.3313
3530,720000,74.9519
3541,722000,84.6606
3551,724000,75.9301
3562,726000,70.1595
3572,728000,93.0208
3581,730000,82.6531
3591,732000,74.827
3600,734000,101.761
3609,736000,66.1454
3620,738000,82.4506
3629,740000,93.7997
3636,742000,69.626
3645,744000,70.9477
3654,746000,75.2374
3664,748000,78.8145
3673,750000,105.9865
3683,752000,87.2557
3693,754000,77.8579
3703,756000,90.1852
3712,758000,84.0614
3722,760000,86.379
3731,762000,77.2847
3740,764000,83.4056
3751,766000,86.8339
3761,768000,78.4009
3772,770000,67.7742
3784,772000,76.4702
3794,774000,80.0469
3805,776000,85.0742
3817,778000,67.2509
3827,780000,76.5598
3838,782000,80.9393
3848,784000,91.5481
3858,786000,104.8682
3870,788000,70.7665
3881,790000,76.8027
3893,792000,67.9839
3903,794000,86.9666
3914,796000,65.8118
3924,798000,77.7647
3934,800000,86.5029
3944,802000,84.9012
3954,804000,91.4984
3965,806000,89.8441
3976,808000,71.0874
3985,810000,94.4595
3996,812000,73.4625
4005,814000,95.97
4016,816000,64.0141
4024,818000,77.8106
4032,820000,76.6962
4040,822000,91.3369
4050,824000,70.1223
4060,826000,77.3011
4071,828000,76.3013
4081,830000,74.6575
4089,832000,73.4641
4096,834000,88.1245
4105,836000,72.9285
4113,838000,88.9534
4124,840000,77.3809
4134,842000,83.9091
4143,844000,91.1828
4153,846000,78.033
4162,848000,84.6062
4172,850000,86.5844
4182,852000,67.4181
4192,854000,88.4598
4201,856000,80.3553
4209,858000,75.8051
4217,860000,81.3752
4226,862000,81.0768
4236,864000,81.9573
4243,866000,95.1176
4250,868000,81.6841
4257,870000,79.9168
4267,872000,73.8644
4276,874000,67.4746
4286,876000,79.5783
4295,878000,83.3724
4304,880000,84.5812
4314,882000,84.317
4324,884000,83.5006
4333,886000,73.2198
4343,888000,89.5805
4353,890000,84.6314
4361,892000,82.6119
4368,894000,92.3868
4376,896000,85.9827
4384,898000,96.5204
4391,900000,71.362
4400,902000,85.695
4409,904000,79.0302
4418,906000,79.148
4428,908000,80.4318
4438,910000,67.6908
4449,912000,66.0404
4459,914000,69.4492
4468,916000,81.7036
4477,918000,94.3115
4486,920000,68.6551
4495,922000,80.892
4504,924000,81.1698
4514,926000,71.5233
4524,928000,76.3057
4534,930000,74.4445
4543,932000,81.4651
4553,934000,91.4711
4563,936000,93.0061
4573,938000,87.642
4583,940000,74.2685
4593,942000,79.7126
4602,944000,81.7688
4611,946000,92.2583
4619,948000,99.8226
4627,950000,78.0313
4636,952000,87.5887
4646,954000,77.9039
4655,956000,88.6882
4664,958000,88.5629
4674,960000,77.3257
4683,962000,91.8785
4693,964000,78.9534
4703,966000,92.612
4713,968000,87.6144
4725,970000,64.5348
4735,972000,86.465
4746,974000,82.5871
4757,976000,79.6035
4769,978000,72.7096
4780,980000,89.1843
4792,982000,73.2129
4803,984000,80.8484
4813,986000,87.2462
4824,988000,82.4045
4834,990000,78.5515
4845,992000,75.5081
4855,994000,77.2457
4865,996000,79.2728
4875,998000,75.2537
4885,1000000,83.2633
