episode,timestep,reward
1,2000,25.6532
7,4000,7.3856
13,6000,5.83
16,8000,10.0683
19,10000,23.6268
26,12000,5.3236
28,14000,21.2046
31,16000,37.772
37,18000,15.2677
45,20000,15.9082
49,22000,29.7603
52,24000,19.5566
55,26000,65.9668
63,28000,18.2501
73,30000,15.5723
83,32000,14.8568
95,34000,20.7345
106,36000,18.2328
112,38000,14.7004
120,40000,29.6592
124,42000,29.347
131,44000,22.4845
136,46000,22.5454
144,48000,24.5208
154,50000,24.9408
168,52000,16.3894
193,54000,10.0055
210,56000,24.0591
229,58000,21.9598
254,60000,13.6878
279,62000,13.6247
294,64000,26.789
321,66000,13.4186
337,68000,25.8726
361,70000,20.3772
384,72000,17.1953
411,74000,13.5543
433,76000,20.6245
457,78000,20.0162
486,80000,13.1732
508,82000,21.9325
529,84000,20.9321
555,86000,15.5946
580,88000,16.2739
605,90000,16.6152
634,92000,12.1482
662,94000,13.2861
687,96000,12.4662
711,98000,19.1785
734,100000,18.2261
758,102000,19.0184
778,104000,21.4454
802,106000,17.5486
822,108000,22.2166
851,110000,12.5807
875,112000,17.1364
901,114000,14.5661
926,116000,20.9804
954,118000,14.7415
976,120000,19.0486
995,122000,26.9653
1019,124000,19.7456
1043,126000,18.6158
1074,128000,10.6821
1101,130000,14.8659
1122,132000,25.5036
1145,134000,20.1258
1168,136000,21.6415
1189,138000,26.3419
1211,140000,23.0907
1234,142000,20.2029
1255,144000,21.1565
1275,146000,24.3985
1297,148000,23.2852
1318,150000,26.3182
1354,152000,9.825
1378,154000,16.887
1404,156000,15.6881
1431,158000,14.3662
1455,160000,20.0426
1481,162000,17.2245
1508,164000,12.1339
1527,166000,29.9168
1552,168000,17.1575
1580,170000,11.994
1601,172000,22.4055
1623,174000,18.1995
1641,176000,31.8475
1663,178000,19.7453
1683,180000,23.8795
1705,182000,18.7166
1725,184000,20.1127
1748,186000,14.8344
1770,188000,14.9464
1794,190000,18.7063
1814,192000,26.7513
1837,194000,17.3454
1857,196000,29.2843
1881,198000,21.0345
1903,200000,22.3362
1928,202000,17.7894
1952,204000,18.1244
1977,206000,21.5635
2006,208000,14.0378
2036,210000,14.4265
2066,212000,12.1029
2086,214000,23.7632
2110,216000,21.3992
2135,218000,19.8087
2160,220000,18.2877
2176,222000,34.8612
2199,224000,24.7358
2222,226000,18.7217
2241,228000,30.0778
2266,230000,20.2969
2286,232000,26.7961
2307,234000,28.4184
2329,236000,21.7732
2354,238000,18.4586
2376,240000,28.0417
2397,242000,24.6179
2412,244000,40.8343
2437,246000,19.9088
2462,248000,18.7184
2489,250000,17.3999
2515,252000,25.1886
2537,254000,32.5971
2556,256000,35.3437
2578,258000,32.1582
2601,260000,25.5839
2624,262000,29.1326
2648,264000,24.8285
2673,266000,26.5807
2695,268000,26.4116
2715,270000,35.3728
2735,272000,38.2358
2754,274000,37.886
2771,276000,37.8192
2792,278000,34.7551
2815,280000,25.1171
2838,282000,29.0041
2857,284000,36.3138
2878,286000,35.0766
2897,288000,33.0815
2918,290000,29.6325
2939,292000,32.029
2962,294000,30.3042
2981,296000,41.0098
3003,298000,29.7282
3025,300000,32.0174
3044,302000,36.7306
3064,304000,30.8026
3083,306000,33.2113
3098,308000,54.8673
3117,310000,38.3826
3141,312000,25.1977
3163,314000,29.964
3181,316000,43.2755
3198,318000,42.6775
3213,320000,60.7967
3231,322000,36.4016
3248,324000,46.7296
3269,326000,30.2982
3290,328000,33.3091
3305,330000,57.241
3326,332000,33.0596
3350,334000,24.9084
3367,336000,43.6055
3386,338000,47.0224
3407,340000,31.396
3420,342000,65.8028
3441,344000,31.6632
3463,346000,34.8618
3480,348000,50.5617
3500,350000,35.7917
3518,352000,40.3573
3537,354000,44.6791
3558,356000,34.0483
3572,358000,68.2678
3588,360000,51.0492
3606,362000,39.8082
3622,364000,50.0522
3639,366000,47.5215
3653,368000,73.1186
3673,370000,38.0693
3692,372000,43.2753
3709,374000,52.779
3724,376000,60.3169
3740,378000,45.8704
3756,380000,55.3992
3772,382000,48.5572
3792,384000,38.4916
3812,386000,42.2793
3828,388000,53.8096
3843,390000,52.961
3861,392000,49.7043
3874,394000,76.0237
3891,396000,44.5137
3909,398000,49.2779
3922,400000,67.4402
3939,402000,47.359
3958,404000,38.8285
3974,406000,52.4588
3991,408000,45.1102
4003,410000,74.5334
4018,412000,53.5584
4032,414000,56.9217
4045,416000,73.2894
4059,418000,60.5238
4074,420000,61.7352
4091,422000,43.467
4102,424000,88.8385
4113,426000,71.6576
4129,428000,56.1738
4144,430000,56.7787
4156,432000,70.8166
4170,434000,63.1372
4181,436000,84.4695
4193,438000,73.4119
4204,440000,77.3836
4216,442000,74.466
4230,444000,58.3753
4242,446000,65.9874
4255,448000,71.6903
4267,450000,71.8323
