episode,timestep,reward
5,2000,1.4249
11,4000,-6.1023
22,6000,-4.8336
24,8000,1.5984
32,10000,1.1606
44,12000,1.319
54,14000,1.4415
63,16000,2.2582
73,18000,3.5667
79,20000,4.6705
87,22000,5.7223
95,24000,5.3108
100,26000,16.0298
102,28000,51.8218
108,30000,25.0117
116,32000,33.8872
124,34000,22.2057
129,36000,46.2211
135,38000,35.4701
142,40000,30.2449
149,42000,45.4571
155,44000,76.7958
158,46000,77.0224
167,48000,46.0701
173,50000,64.7888
180,52000,39.176
189,54000,34.4508
195,56000,70.4969
206,58000,41.1602
216,60000,48.425
229,62000,40.6299
236,64000,61.1812
246,66000,48.2311
254,68000,53.8345
262,70000,71.9779
270,72000,63.3364
279,74000,64.3991
287,76000,73.015
297,78000,82.6492
306,80000,87.9261
318,82000,52.4041
327,84000,90.2535
337,86000,77.9166
347,88000,79.1876
356,90000,84.3188
368,92000,53.4391
395,94000,16.6421
423,96000,14.0904
444,98000,27.3737
455,100000,53.4105
470,102000,51.8895
483,104000,50.3339
498,106000,43.3737
516,108000,38.506
532,110000,41.1785
545,112000,55.7626
562,114000,38.0098
576,116000,45.7984
586,118000,66.0708
598,120000,54.6395
610,122000,60.5004
623,124000,50.4236
635,126000,51.2622
648,128000,62.5435
660,130000,65.0679
671,132000,54.485
682,134000,64.0328
695,136000,43.0259
707,138000,57.7321
718,140000,61.2093
728,142000,80.7109
742,144000,63.6685
753,146000,70.8953
764,148000,66.8898
776,150000,49.8623
790,152000,55.1411
801,154000,70.6236
813,156000,59.7404
823,158000,69.9761
834,160000,74.296
845,162000,57.6526
856,164000,59.7384
866,166000,68.6416
877,168000,71.1277
887,170000,79.221
898,172000,72.3772
908,174000,67.5965
921,176000,67.6633
931,178000,69.774
942,180000,66.1768
952,182000,71.6848
963,184000,69.3253
974,186000,74.2857
985,188000,67.8058
995,190000,69.5574
1006,192000,58.0274
1017,194000,70.5136
1026,196000,91.9909
1038,198000,61.6398
